product_id,brand_id,brand_tier,category,main_material,weight_grams
SPC_PRD_0000,SPC01,Fast Fashion,Crop Tops,Acrilico Economico,292
SPC_PRD_0001,SPC04,Outdoor,Outerwear,Nylon Riciclato,689
SPC_PRD_0002,SPC02,Teen Value Retail,Hoodies,Cotone Supima,509
SPC_PRD_0003,SPC05,Activewear,Sneakers,Poliestere High-Performance,513
SPC_PRD_0004,SPC02,Teen Value Retail,Basic Tees,Cotone Supima,394
SPC_PRD_0005,SPC06,Denim,Casual Shirts,Denim Misto Elastan,742
SPC_PRD_0006,SPC05,Activewear,Sneakers,Poliestere High-Performance,708
SPC_PRD_0007,SPC04,Outdoor,Fleece,Lana Merino,1138
SPC_PRD_0008,SPC03,Heritage / Premium,Knitwear,Lana Merino,1033
SPC_PRD_0009,SPC05,Activewear,Sneakers,Poliestere High-Performance,197
SPC_PRD_0010,SPC02,Teen Value Retail,Hoodies,Cotone Supima,418
SPC_PRD_0011,SPC03,Heritage / Premium,Dress Shirts,Cotone Supima,406
SPC_PRD_0012,SPC02,Teen Value Retail,Basic Tees,Acrilico Economico,256
SPC_PRD_0013,SPC01,Fast Fashion,Graphic Tees,Denim Misto Elastan,135
SPC_PRD_0014,SPC06,Denim,Denim Jeans,Denim Misto Elastan,693
SPC_PRD_0015,SPC01,Fast Fashion,Graphic Tees,Acrilico Economico,165
SPC_PRD_0016,SPC04,Outdoor,Fleece,Lana Merino,635
SPC_PRD_0017,SPC03,Heritage / Premium,Dress Shirts,Cotone Supima,889
SPC_PRD_0018,SPC06,Denim,Denim Jeans,Denim Misto Elastan,745
SPC_PRD_0019,SPC03,Heritage / Premium,Dress Shirts,Lana Merino,533
SPC_PRD_0020,SPC03,Heritage / Premium,Knitwear,Lana Merino,415
SPC_PRD_0021,SPC06,Denim,Denim Jeans,Denim Misto Elastan,876
SPC_PRD_0022,SPC04,Outdoor,Outerwear,Nylon Riciclato,1029
SPC_PRD_0023,SPC05,Activewear,Sneakers,Poliestere High-Performance,755
SPC_PRD_0024,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,491
SPC_PRD_0025,SPC06,Denim,Casual Shirts,Denim Misto Elastan,538
SPC_PRD_0026,SPC04,Outdoor,Outerwear,Lana Merino,1153
SPC_PRD_0027,SPC04,Outdoor,Outerwear,Lana Merino,1345
SPC_PRD_0028,SPC03,Heritage / Premium,Suits & Tailoring,Lana Merino,1075
SPC_PRD_0029,SPC04,Outdoor,Fleece,Nylon Riciclato,959
SPC_PRD_0030,SPC03,Heritage / Premium,Knitwear,Lana Merino,710
SPC_PRD_0031,SPC03,Heritage / Premium,Dress Shirts,Cotone Supima,839
SPC_PRD_0032,SPC05,Activewear,Sports Bras,Poliestere High-Performance,427
SPC_PRD_0033,SPC01,Fast Fashion,Graphic Tees,Denim Misto Elastan,278
SPC_PRD_0034,SPC06,Denim,Casual Shirts,Denim Misto Elastan,552
SPC_PRD_0035,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,403
SPC_PRD_0036,SPC06,Denim,Casual Shirts,Denim Misto Elastan,741
SPC_PRD_0037,SPC01,Fast Fashion,Graphic Tees,Denim Misto Elastan,300
SPC_PRD_0038,SPC03,Heritage / Premium,Suits & Tailoring,Lana Merino,1048
SPC_PRD_0039,SPC02,Teen Value Retail,Basic Tees,Cotone Supima,465
SPC_PRD_0040,SPC06,Denim,Casual Shirts,Denim Misto Elastan,863
SPC_PRD_0041,SPC06,Denim,Denim Jeans,Denim Misto Elastan,773
SPC_PRD_0042,SPC06,Denim,Denim Jeans,Denim Misto Elastan,582
SPC_PRD_0043,SPC03,Heritage / Premium,Dress Shirts,Cotone Supima,955
SPC_PRD_0044,SPC04,Outdoor,Hiking Pants,Nylon Riciclato,809
SPC_PRD_0045,SPC01,Fast Fashion,Graphic Tees,Acrilico Economico,229
SPC_PRD_0046,SPC04,Outdoor,Fleece,Lana Merino,1026
SPC_PRD_0047,SPC05,Activewear,Sneakers,Poliestere High-Performance,565
SPC_PRD_0048,SPC06,Denim,Denim Jeans,Denim Misto Elastan,733
SPC_PRD_0049,SPC04,Outdoor,Outerwear,Nylon Riciclato,539
SPC_PRD_0050,SPC01,Fast Fashion,Graphic Tees,Denim Misto Elastan,276
SPC_PRD_0051,SPC02,Teen Value Retail,Basic Tees,Cotone Supima,250
SPC_PRD_0052,SPC03,Heritage / Premium,Suits & Tailoring,Cotone Supima,1177
SPC_PRD_0053,SPC03,Heritage / Premium,Suits & Tailoring,Lana Merino,376
SPC_PRD_0054,SPC05,Activewear,Sneakers,Poliestere High-Performance,467
SPC_PRD_0055,SPC02,Teen Value Retail,Basic Tees,Acrilico Economico,218
SPC_PRD_0056,SPC01,Fast Fashion,Crop Tops,Denim Misto Elastan,213
SPC_PRD_0057,SPC06,Denim,Casual Shirts,Denim Misto Elastan,747
SPC_PRD_0058,SPC04,Outdoor,Fleece,Lana Merino,1098
SPC_PRD_0059,SPC03,Heritage / Premium,Suits & Tailoring,Cotone Supima,588
SPC_PRD_0060,SPC04,Outdoor,Outerwear,Nylon Riciclato,1388
SPC_PRD_0061,SPC04,Outdoor,Fleece,Nylon Riciclato,1409
SPC_PRD_0062,SPC01,Fast Fashion,Crop Tops,Denim Misto Elastan,259
SPC_PRD_0063,SPC06,Denim,Casual Shirts,Denim Misto Elastan,814
SPC_PRD_0064,SPC05,Activewear,Sports Bras,Poliestere High-Performance,401
SPC_PRD_0065,SPC06,Denim,Casual Shirts,Denim Misto Elastan,822
SPC_PRD_0066,SPC05,Activewear,Sports Bras,Poliestere High-Performance,288
SPC_PRD_0067,SPC01,Fast Fashion,Crop Tops,Denim Misto Elastan,169
SPC_PRD_0068,SPC03,Heritage / Premium,Knitwear,Cotone Supima,535
SPC_PRD_0069,SPC03,Heritage / Premium,Suits & Tailoring,Cotone Supima,703
SPC_PRD_0070,SPC06,Denim,Casual Shirts,Denim Misto Elastan,669
SPC_PRD_0071,SPC04,Outdoor,Outerwear,Lana Merino,1470
SPC_PRD_0072,SPC01,Fast Fashion,Graphic Tees,Denim Misto Elastan,237
SPC_PRD_0073,SPC06,Denim,Denim Jeans,Denim Misto Elastan,810
SPC_PRD_0074,SPC03,Heritage / Premium,Knitwear,Cotone Supima,316
SPC_PRD_0075,SPC01,Fast Fashion,Graphic Tees,Acrilico Economico,134
SPC_PRD_0076,SPC03,Heritage / Premium,Knitwear,Cotone Supima,944
SPC_PRD_0077,SPC03,Heritage / Premium,Knitwear,Cotone Supima,1016
SPC_PRD_0078,SPC03,Heritage / Premium,Dress Shirts,Cotone Supima,720
SPC_PRD_0079,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,790
SPC_PRD_0080,SPC04,Outdoor,Hiking Pants,Nylon Riciclato,1405
SPC_PRD_0081,SPC01,Fast Fashion,Party Dresses,Acrilico Economico,157
SPC_PRD_0082,SPC05,Activewear,Sneakers,Poliestere High-Performance,260
SPC_PRD_0083,SPC03,Heritage / Premium,Knitwear,Cotone Supima,549
SPC_PRD_0084,SPC03,Heritage / Premium,Knitwear,Cotone Supima,482
SPC_PRD_0085,SPC03,Heritage / Premium,Suits & Tailoring,Cotone Supima,323
SPC_PRD_0086,SPC04,Outdoor,Fleece,Lana Merino,724
SPC_PRD_0087,SPC02,Teen Value Retail,Hoodies,Cotone Supima,367
SPC_PRD_0088,SPC05,Activewear,Sports Bras,Poliestere High-Performance,282
SPC_PRD_0089,SPC03,Heritage / Premium,Dress Shirts,Lana Merino,1095
SPC_PRD_0090,SPC05,Activewear,Sports Bras,Poliestere High-Performance,736
SPC_PRD_0091,SPC06,Denim,Denim Jeans,Denim Misto Elastan,535
SPC_PRD_0092,SPC04,Outdoor,Fleece,Lana Merino,1241
SPC_PRD_0093,SPC01,Fast Fashion,Party Dresses,Denim Misto Elastan,265
SPC_PRD_0094,SPC01,Fast Fashion,Party Dresses,Acrilico Economico,192
SPC_PRD_0095,SPC06,Denim,Casual Shirts,Denim Misto Elastan,527
SPC_PRD_0096,SPC01,Fast Fashion,Party Dresses,Acrilico Economico,100
SPC_PRD_0097,SPC03,Heritage / Premium,Knitwear,Lana Merino,915
SPC_PRD_0098,SPC04,Outdoor,Hiking Pants,Nylon Riciclato,639
SPC_PRD_0099,SPC03,Heritage / Premium,Suits & Tailoring,Cotone Supima,926
SPC_PRD_0100,SPC01,Fast Fashion,Graphic Tees,Acrilico Economico,285
SPC_PRD_0101,SPC02,Teen Value Retail,Polo Shirts,Acrilico Economico,245
SPC_PRD_0102,SPC02,Teen Value Retail,Hoodies,Acrilico Economico,352
SPC_PRD_0103,SPC06,Denim,Casual Shirts,Denim Misto Elastan,614
SPC_PRD_0104,SPC02,Teen Value Retail,Polo Shirts,Cotone Supima,590
SPC_PRD_0105,SPC01,Fast Fashion,Graphic Tees,Acrilico Economico,231
SPC_PRD_0106,SPC06,Denim,Casual Shirts,Denim Misto Elastan,729
SPC_PRD_0107,SPC06,Denim,Denim Jeans,Denim Misto Elastan,645
SPC_PRD_0108,SPC04,Outdoor,Fleece,Nylon Riciclato,862
SPC_PRD_0109,SPC01,Fast Fashion,Crop Tops,Acrilico Economico,273
SPC_PRD_0110,SPC06,Denim,Denim Jeans,Denim Misto Elastan,825
SPC_PRD_0111,SPC01,Fast Fashion,Crop Tops,Acrilico Economico,152
SPC_PRD_0112,SPC04,Outdoor,Fleece,Lana Merino,1399
SPC_PRD_0113,SPC01,Fast Fashion,Crop Tops,Acrilico Economico,287
SPC_PRD_0114,SPC03,Heritage / Premium,Suits & Tailoring,Cotone Supima,887
SPC_PRD_0115,SPC02,Teen Value Retail,Polo Shirts,Cotone Supima,574
SPC_PRD_0116,SPC06,Denim,Denim Jeans,Denim Misto Elastan,814
SPC_PRD_0117,SPC02,Teen Value Retail,Hoodies,Acrilico Economico,473
SPC_PRD_0118,SPC06,Denim,Denim Jeans,Denim Misto Elastan,649
SPC_PRD_0119,SPC03,Heritage / Premium,Dress Shirts,Cotone Supima,548
SPC_PRD_0120,SPC05,Activewear,Sneakers,Poliestere High-Performance,572
SPC_PRD_0121,SPC02,Teen Value Retail,Hoodies,Cotone Supima,342
SPC_PRD_0122,SPC05,Activewear,Sports Bras,Poliestere High-Performance,798
SPC_PRD_0123,SPC05,Activewear,Sneakers,Poliestere High-Performance,648
SPC_PRD_0124,SPC05,Activewear,Sports Bras,Poliestere High-Performance,674
SPC_PRD_0125,SPC03,Heritage / Premium,Knitwear,Cotone Supima,674
SPC_PRD_0126,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,190
SPC_PRD_0127,SPC02,Teen Value Retail,Polo Shirts,Cotone Supima,318
SPC_PRD_0128,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,540
SPC_PRD_0129,SPC04,Outdoor,Hiking Pants,Nylon Riciclato,1048
SPC_PRD_0130,SPC04,Outdoor,Fleece,Lana Merino,1160
SPC_PRD_0131,SPC01,Fast Fashion,Graphic Tees,Denim Misto Elastan,189
SPC_PRD_0132,SPC03,Heritage / Premium,Dress Shirts,Lana Merino,1011
SPC_PRD_0133,SPC04,Outdoor,Fleece,Nylon Riciclato,1144
SPC_PRD_0134,SPC03,Heritage / Premium,Suits & Tailoring,Cotone Supima,861
SPC_PRD_0135,SPC03,Heritage / Premium,Knitwear,Lana Merino,735
SPC_PRD_0136,SPC03,Heritage / Premium,Dress Shirts,Lana Merino,741
SPC_PRD_0137,SPC06,Denim,Denim Jeans,Denim Misto Elastan,751
SPC_PRD_0138,SPC02,Teen Value Retail,Polo Shirts,Cotone Supima,462
SPC_PRD_0139,SPC06,Denim,Denim Jeans,Denim Misto Elastan,745
SPC_PRD_0140,SPC02,Teen Value Retail,Hoodies,Acrilico Economico,415
SPC_PRD_0141,SPC03,Heritage / Premium,Dress Shirts,Lana Merino,351
SPC_PRD_0142,SPC06,Denim,Casual Shirts,Denim Misto Elastan,593
SPC_PRD_0143,SPC05,Activewear,Sneakers,Poliestere High-Performance,325
SPC_PRD_0144,SPC03,Heritage / Premium,Dress Shirts,Lana Merino,586
SPC_PRD_0145,SPC04,Outdoor,Fleece,Nylon Riciclato,1232
SPC_PRD_0146,SPC06,Denim,Denim Jeans,Denim Misto Elastan,898
SPC_PRD_0147,SPC04,Outdoor,Outerwear,Nylon Riciclato,888
SPC_PRD_0148,SPC02,Teen Value Retail,Polo Shirts,Acrilico Economico,378
SPC_PRD_0149,SPC03,Heritage / Premium,Knitwear,Cotone Supima,474
SPC_PRD_0150,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,275
SPC_PRD_0151,SPC06,Denim,Denim Jeans,Denim Misto Elastan,579
SPC_PRD_0152,SPC06,Denim,Denim Jeans,Denim Misto Elastan,720
SPC_PRD_0153,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,667
SPC_PRD_0154,SPC01,Fast Fashion,Graphic Tees,Denim Misto Elastan,220
SPC_PRD_0155,SPC03,Heritage / Premium,Knitwear,Cotone Supima,586
SPC_PRD_0156,SPC02,Teen Value Retail,Hoodies,Acrilico Economico,457
SPC_PRD_0157,SPC02,Teen Value Retail,Polo Shirts,Cotone Supima,546
SPC_PRD_0158,SPC06,Denim,Denim Jeans,Denim Misto Elastan,506
SPC_PRD_0159,SPC06,Denim,Casual Shirts,Denim Misto Elastan,546
SPC_PRD_0160,SPC06,Denim,Casual Shirts,Denim Misto Elastan,891
SPC_PRD_0161,SPC02,Teen Value Retail,Basic Tees,Cotone Supima,383
SPC_PRD_0162,SPC01,Fast Fashion,Party Dresses,Acrilico Economico,186
SPC_PRD_0163,SPC01,Fast Fashion,Party Dresses,Denim Misto Elastan,255
SPC_PRD_0164,SPC05,Activewear,Sports Bras,Poliestere High-Performance,338
SPC_PRD_0165,SPC02,Teen Value Retail,Hoodies,Cotone Supima,265
SPC_PRD_0166,SPC02,Teen Value Retail,Hoodies,Acrilico Economico,482
SPC_PRD_0167,SPC06,Denim,Denim Jeans,Denim Misto Elastan,753
SPC_PRD_0168,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,723
SPC_PRD_0169,SPC06,Denim,Casual Shirts,Denim Misto Elastan,563
SPC_PRD_0170,SPC03,Heritage / Premium,Knitwear,Lana Merino,956
SPC_PRD_0171,SPC04,Outdoor,Hiking Pants,Lana Merino,1458
SPC_PRD_0172,SPC01,Fast Fashion,Crop Tops,Denim Misto Elastan,164
SPC_PRD_0173,SPC04,Outdoor,Fleece,Lana Merino,1277
SPC_PRD_0174,SPC01,Fast Fashion,Graphic Tees,Acrilico Economico,190
SPC_PRD_0175,SPC03,Heritage / Premium,Dress Shirts,Lana Merino,1073
SPC_PRD_0176,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,712
SPC_PRD_0177,SPC04,Outdoor,Hiking Pants,Lana Merino,686
SPC_PRD_0178,SPC04,Outdoor,Outerwear,Nylon Riciclato,1058
SPC_PRD_0179,SPC03,Heritage / Premium,Dress Shirts,Lana Merino,863
SPC_PRD_0180,SPC04,Outdoor,Fleece,Nylon Riciclato,1109
SPC_PRD_0181,SPC04,Outdoor,Hiking Pants,Lana Merino,1249
SPC_PRD_0182,SPC02,Teen Value Retail,Hoodies,Acrilico Economico,277
SPC_PRD_0183,SPC05,Activewear,Sneakers,Poliestere High-Performance,713
SPC_PRD_0184,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,799
SPC_PRD_0185,SPC03,Heritage / Premium,Knitwear,Cotone Supima,1084
SPC_PRD_0186,SPC03,Heritage / Premium,Dress Shirts,Lana Merino,398
SPC_PRD_0187,SPC02,Teen Value Retail,Hoodies,Acrilico Economico,307
SPC_PRD_0188,SPC06,Denim,Denim Jeans,Denim Misto Elastan,890
SPC_PRD_0189,SPC04,Outdoor,Outerwear,Lana Merino,850
SPC_PRD_0190,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,381
SPC_PRD_0191,SPC02,Teen Value Retail,Hoodies,Acrilico Economico,201
SPC_PRD_0192,SPC02,Teen Value Retail,Basic Tees,Cotone Supima,390
SPC_PRD_0193,SPC02,Teen Value Retail,Polo Shirts,Acrilico Economico,594
SPC_PRD_0194,SPC02,Teen Value Retail,Polo Shirts,Acrilico Economico,559
SPC_PRD_0195,SPC04,Outdoor,Outerwear,Lana Merino,967
SPC_PRD_0196,SPC02,Teen Value Retail,Basic Tees,Cotone Supima,248
SPC_PRD_0197,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,439
SPC_PRD_0198,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,785
SPC_PRD_0199,SPC01,Fast Fashion,Party Dresses,Acrilico Economico,224
SPC_PRD_0200,SPC01,Fast Fashion,Party Dresses,Denim Misto Elastan,151
SPC_PRD_0201,SPC03,Heritage / Premium,Knitwear,Lana Merino,1183
SPC_PRD_0202,SPC03,Heritage / Premium,Knitwear,Cotone Supima,613
SPC_PRD_0203,SPC01,Fast Fashion,Graphic Tees,Acrilico Economico,146
SPC_PRD_0204,SPC01,Fast Fashion,Crop Tops,Denim Misto Elastan,142
SPC_PRD_0205,SPC02,Teen Value Retail,Basic Tees,Cotone Supima,454
SPC_PRD_0206,SPC04,Outdoor,Fleece,Nylon Riciclato,566
SPC_PRD_0207,SPC06,Denim,Denim Jeans,Denim Misto Elastan,529
SPC_PRD_0208,SPC03,Heritage / Premium,Dress Shirts,Lana Merino,324
SPC_PRD_0209,SPC02,Teen Value Retail,Hoodies,Acrilico Economico,574
SPC_PRD_0210,SPC02,Teen Value Retail,Hoodies,Cotone Supima,504
SPC_PRD_0211,SPC06,Denim,Casual Shirts,Denim Misto Elastan,697
SPC_PRD_0212,SPC04,Outdoor,Outerwear,Lana Merino,618
SPC_PRD_0213,SPC04,Outdoor,Hiking Pants,Nylon Riciclato,1239
SPC_PRD_0214,SPC01,Fast Fashion,Crop Tops,Acrilico Economico,261
SPC_PRD_0215,SPC05,Activewear,Sneakers,Poliestere High-Performance,269
SPC_PRD_0216,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,552
SPC_PRD_0217,SPC03,Heritage / Premium,Dress Shirts,Lana Merino,1100
SPC_PRD_0218,SPC01,Fast Fashion,Crop Tops,Denim Misto Elastan,300
SPC_PRD_0219,SPC06,Denim,Denim Jeans,Denim Misto Elastan,533
SPC_PRD_0220,SPC04,Outdoor,Outerwear,Nylon Riciclato,1426
SPC_PRD_0221,SPC01,Fast Fashion,Party Dresses,Denim Misto Elastan,245
SPC_PRD_0222,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,748
SPC_PRD_0223,SPC06,Denim,Denim Jeans,Denim Misto Elastan,840
SPC_PRD_0224,SPC03,Heritage / Premium,Knitwear,Lana Merino,613
SPC_PRD_0225,SPC06,Denim,Denim Jeans,Denim Misto Elastan,846
SPC_PRD_0226,SPC03,Heritage / Premium,Knitwear,Cotone Supima,1012
SPC_PRD_0227,SPC05,Activewear,Sports Bras,Poliestere High-Performance,487
SPC_PRD_0228,SPC06,Denim,Denim Jeans,Denim Misto Elastan,841
SPC_PRD_0229,SPC02,Teen Value Retail,Basic Tees,Acrilico Economico,369
SPC_PRD_0230,SPC03,Heritage / Premium,Dress Shirts,Lana Merino,1193
SPC_PRD_0231,SPC04,Outdoor,Hiking Pants,Lana Merino,1140
SPC_PRD_0232,SPC03,Heritage / Premium,Knitwear,Lana Merino,762
SPC_PRD_0233,SPC04,Outdoor,Fleece,Nylon Riciclato,1466
SPC_PRD_0234,SPC04,Outdoor,Hiking Pants,Nylon Riciclato,1225
SPC_PRD_0235,SPC02,Teen Value Retail,Basic Tees,Acrilico Economico,493
SPC_PRD_0236,SPC05,Activewear,Sports Bras,Poliestere High-Performance,265
SPC_PRD_0237,SPC06,Denim,Casual Shirts,Denim Misto Elastan,764
SPC_PRD_0238,SPC06,Denim,Denim Jeans,Denim Misto Elastan,691
SPC_PRD_0239,SPC03,Heritage / Premium,Suits & Tailoring,Cotone Supima,905
SPC_PRD_0240,SPC02,Teen Value Retail,Basic Tees,Acrilico Economico,583
SPC_PRD_0241,SPC02,Teen Value Retail,Basic Tees,Acrilico Economico,527
SPC_PRD_0242,SPC06,Denim,Denim Jeans,Denim Misto Elastan,586
SPC_PRD_0243,SPC05,Activewear,Sneakers,Poliestere High-Performance,687
SPC_PRD_0244,SPC06,Denim,Casual Shirts,Denim Misto Elastan,524
SPC_PRD_0245,SPC03,Heritage / Premium,Dress Shirts,Lana Merino,503
SPC_PRD_0246,SPC05,Activewear,Sneakers,Poliestere High-Performance,476
SPC_PRD_0247,SPC04,Outdoor,Fleece,Nylon Riciclato,655
SPC_PRD_0248,SPC06,Denim,Casual Shirts,Denim Misto Elastan,734
SPC_PRD_0249,SPC04,Outdoor,Fleece,Lana Merino,553
