product_id,brand_id,category,product_lifecycle,main_material,weight_grams
FR_PRD_00000,FR03,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),227
FR_PRD_00001,FR03,Knitwear,Seasonal_Standard,Cashmere 3D Knit,390
FR_PRD_00002,FR04,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),141
FR_PRD_00003,FR02,Smart Casual Pants,Core_Long_Term,Cotone Supima,230
FR_PRD_00004,FR04,Smart Casual Pants,Seasonal_Standard,Cotone Supima,343
FR_PRD_00005,FR01,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,171
FR_PRD_00006,FR03,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,281
FR_PRD_00007,FR04,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),270
FR_PRD_00008,FR04,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,329
FR_PRD_00009,FR05,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),249
FR_PRD_00010,FR05,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),206
FR_PRD_00011,FR05,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),240
FR_PRD_00012,FR04,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,332
FR_PRD_00013,FR03,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),301
FR_PRD_00014,FR02,Fleece & Outerwear,Core_Long_Term,Ultra Light Down (Nylon/Piuma),450
FR_PRD_00015,FR02,Innerwear & Loungewear,Core_Long_Term,AIRism (Cupro/Poliestere),119
FR_PRD_00016,FR01,Smart Casual Pants,Core_Long_Term,Cotone Supima,288
FR_PRD_00017,FR06,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,272
FR_PRD_00018,FR05,Innerwear & Loungewear,Seasonal_Standard,HEATTECH (Misto Acrilico/Rayon),116
FR_PRD_00019,FR05,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,321
FR_PRD_00020,FR01,Smart Casual Pants,Core_Long_Term,Cotone Supima,240
FR_PRD_00021,FR06,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),196
FR_PRD_00022,FR01,Smart Casual Pants,Core_Long_Term,Cotone Supima,222
FR_PRD_00023,FR06,Innerwear & Loungewear,Seasonal_Standard,HEATTECH (Misto Acrilico/Rayon),244
FR_PRD_00024,FR05,Smart Casual Pants,Seasonal_Standard,Cotone Supima,170
FR_PRD_00025,FR03,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,278
FR_PRD_00026,FR03,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),428
FR_PRD_00027,FR06,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,305
FR_PRD_00028,FR05,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,193
FR_PRD_00029,FR02,Knitwear,Core_Long_Term,Cashmere 3D Knit,345
FR_PRD_00030,FR01,Smart Casual Pants,Core_Long_Term,Cotone Supima,182
FR_PRD_00031,FR02,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,328
FR_PRD_00032,FR05,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,154
FR_PRD_00033,FR02,Innerwear & Loungewear,Core_Long_Term,AIRism (Cupro/Poliestere),141
FR_PRD_00034,FR01,Innerwear & Loungewear,Core_Long_Term,HEATTECH (Misto Acrilico/Rayon),233
FR_PRD_00035,FR05,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,470
FR_PRD_00036,FR01,Innerwear & Loungewear,Core_Long_Term,HEATTECH (Misto Acrilico/Rayon),202
FR_PRD_00037,FR05,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),414
FR_PRD_00038,FR05,Knitwear,Seasonal_Standard,Cashmere 3D Knit,268
FR_PRD_00039,FR06,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,355
FR_PRD_00040,FR02,Fleece & Outerwear,Core_Long_Term,Ultra Light Down (Nylon/Piuma),260
FR_PRD_00041,FR06,Smart Casual Pants,Seasonal_Standard,Cotone Supima,305
FR_PRD_00042,FR03,Smart Casual Pants,Seasonal_Standard,Cotone Supima,265
FR_PRD_00043,FR01,Knitwear,Core_Long_Term,Lana Merino Extra Fine,444
FR_PRD_00044,FR04,Innerwear & Loungewear,Seasonal_Standard,HEATTECH (Misto Acrilico/Rayon),188
FR_PRD_00045,FR02,Knitwear,Core_Long_Term,Cashmere 3D Knit,429
FR_PRD_00046,FR06,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),265
FR_PRD_00047,FR01,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,336
FR_PRD_00048,FR03,Knitwear,Seasonal_Standard,Cashmere 3D Knit,429
FR_PRD_00049,FR01,Innerwear & Loungewear,Core_Long_Term,HEATTECH (Misto Acrilico/Rayon),239
FR_PRD_00050,FR04,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,339
FR_PRD_00051,FR01,Innerwear & Loungewear,Core_Long_Term,AIRism (Cupro/Poliestere),102
FR_PRD_00052,FR05,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,232
FR_PRD_00053,FR02,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,227
FR_PRD_00054,FR02,Innerwear & Loungewear,Core_Long_Term,AIRism (Cupro/Poliestere),195
FR_PRD_00055,FR03,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),201
FR_PRD_00056,FR02,Innerwear & Loungewear,Core_Long_Term,AIRism (Cupro/Poliestere),104
FR_PRD_00057,FR01,Fleece & Outerwear,Core_Long_Term,Ultra Light Down (Nylon/Piuma),257
FR_PRD_00058,FR04,Innerwear & Loungewear,Seasonal_Standard,HEATTECH (Misto Acrilico/Rayon),148
FR_PRD_00059,FR03,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,471
FR_PRD_00060,FR01,Knitwear,Core_Long_Term,Cashmere 3D Knit,277
FR_PRD_00061,FR06,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,166
FR_PRD_00062,FR01,Smart Casual Pants,Core_Long_Term,Cotone Supima,370
FR_PRD_00063,FR03,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,323
FR_PRD_00064,FR03,Knitwear,Seasonal_Standard,Cashmere 3D Knit,447
FR_PRD_00065,FR04,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),172
FR_PRD_00066,FR03,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),384
FR_PRD_00067,FR04,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,253
FR_PRD_00068,FR02,Knitwear,Core_Long_Term,Cashmere 3D Knit,479
FR_PRD_00069,FR04,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,231
FR_PRD_00070,FR06,Smart Casual Pants,Seasonal_Standard,Cotone Supima,246
FR_PRD_00071,FR04,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,275
FR_PRD_00072,FR01,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,267
FR_PRD_00073,FR05,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),402
FR_PRD_00074,FR01,Smart Casual Pants,Core_Long_Term,Cotone Supima,358
FR_PRD_00075,FR05,Knitwear,Seasonal_Standard,Cashmere 3D Knit,257
FR_PRD_00076,FR03,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),214
FR_PRD_00077,FR01,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,303
FR_PRD_00078,FR02,Innerwear & Loungewear,Core_Long_Term,HEATTECH (Misto Acrilico/Rayon),161
FR_PRD_00079,FR01,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,379
FR_PRD_00080,FR03,Knitwear,Seasonal_Standard,Cashmere 3D Knit,400
FR_PRD_00081,FR03,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,342
FR_PRD_00082,FR02,Smart Casual Pants,Core_Long_Term,Cotone Supima,380
FR_PRD_00083,FR02,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,260
FR_PRD_00084,FR04,Smart Casual Pants,Seasonal_Standard,Cotone Supima,349
FR_PRD_00085,FR01,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,174
FR_PRD_00086,FR05,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),241
FR_PRD_00087,FR05,Smart Casual Pants,Seasonal_Standard,Cotone Supima,217
FR_PRD_00088,FR01,Knitwear,Core_Long_Term,Cashmere 3D Knit,498
FR_PRD_00089,FR03,Smart Casual Pants,Seasonal_Standard,Cotone Supima,156
FR_PRD_00090,FR06,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),344
FR_PRD_00091,FR01,Fleece & Outerwear,Core_Long_Term,Ultra Light Down (Nylon/Piuma),203
FR_PRD_00092,FR05,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),168
FR_PRD_00093,FR06,Smart Casual Pants,Seasonal_Standard,Cotone Supima,229
FR_PRD_00094,FR04,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,372
FR_PRD_00095,FR06,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,252
FR_PRD_00096,FR02,Innerwear & Loungewear,Core_Long_Term,HEATTECH (Misto Acrilico/Rayon),219
FR_PRD_00097,FR05,Knitwear,Seasonal_Standard,Cashmere 3D Knit,405
FR_PRD_00098,FR01,Innerwear & Loungewear,Core_Long_Term,HEATTECH (Misto Acrilico/Rayon),226
FR_PRD_00099,FR03,Knitwear,Seasonal_Standard,Cashmere 3D Knit,370
FR_PRD_00100,FR05,Smart Casual Pants,Seasonal_Standard,Cotone Supima,289
FR_PRD_00101,FR05,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),247
FR_PRD_00102,FR05,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,285
FR_PRD_00103,FR01,Fleece & Outerwear,Core_Long_Term,Ultra Light Down (Nylon/Piuma),227
FR_PRD_00104,FR05,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,183
FR_PRD_00105,FR01,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,171
FR_PRD_00106,FR03,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),240
FR_PRD_00107,FR05,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,321
FR_PRD_00108,FR01,Knitwear,Core_Long_Term,Lana Merino Extra Fine,338
FR_PRD_00109,FR05,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),160
FR_PRD_00110,FR03,Smart Casual Pants,Seasonal_Standard,Cotone Supima,341
FR_PRD_00111,FR05,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,407
FR_PRD_00112,FR05,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,209
FR_PRD_00113,FR03,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,345
FR_PRD_00114,FR02,Fleece & Outerwear,Core_Long_Term,Ultra Light Down (Nylon/Piuma),379
FR_PRD_00115,FR01,Smart Casual Pants,Core_Long_Term,Cotone Supima,180
FR_PRD_00116,FR01,Knitwear,Core_Long_Term,Cashmere 3D Knit,286
FR_PRD_00117,FR02,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,389
FR_PRD_00118,FR03,Smart Casual Pants,Seasonal_Standard,Cotone Supima,167
FR_PRD_00119,FR05,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),301
FR_PRD_00120,FR04,Innerwear & Loungewear,Seasonal_Standard,HEATTECH (Misto Acrilico/Rayon),116
FR_PRD_00121,FR01,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,225
FR_PRD_00122,FR05,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,287
FR_PRD_00123,FR02,Fleece & Outerwear,Core_Long_Term,Ultra Light Down (Nylon/Piuma),223
FR_PRD_00124,FR06,Innerwear & Loungewear,Seasonal_Standard,HEATTECH (Misto Acrilico/Rayon),204
FR_PRD_00125,FR03,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),215
FR_PRD_00126,FR04,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),335
FR_PRD_00127,FR01,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,319
FR_PRD_00128,FR02,Fleece & Outerwear,Core_Long_Term,Ultra Light Down (Nylon/Piuma),307
FR_PRD_00129,FR03,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,259
FR_PRD_00130,FR03,Innerwear & Loungewear,Seasonal_Standard,HEATTECH (Misto Acrilico/Rayon),186
FR_PRD_00131,FR02,Innerwear & Loungewear,Core_Long_Term,HEATTECH (Misto Acrilico/Rayon),239
FR_PRD_00132,FR06,Smart Casual Pants,Seasonal_Standard,Cotone Supima,247
FR_PRD_00133,FR06,Smart Casual Pants,Seasonal_Standard,Cotone Supima,383
FR_PRD_00134,FR04,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,386
FR_PRD_00135,FR05,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,362
FR_PRD_00136,FR05,Knitwear,Seasonal_Standard,Cashmere 3D Knit,359
FR_PRD_00137,FR06,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),211
FR_PRD_00138,FR05,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),423
FR_PRD_00139,FR02,Innerwear & Loungewear,Core_Long_Term,AIRism (Cupro/Poliestere),171
FR_PRD_00140,FR03,Smart Casual Pants,Seasonal_Standard,Cotone Supima,388
FR_PRD_00141,FR06,Knitwear,Seasonal_Standard,Cashmere 3D Knit,268
FR_PRD_00142,FR04,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,285
FR_PRD_00143,FR05,Knitwear,Seasonal_Standard,Cashmere 3D Knit,274
FR_PRD_00144,FR03,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),247
FR_PRD_00145,FR05,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),352
FR_PRD_00146,FR04,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,392
FR_PRD_00147,FR01,Knitwear,Core_Long_Term,Lana Merino Extra Fine,326
FR_PRD_00148,FR03,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,423
FR_PRD_00149,FR04,Smart Casual Pants,Seasonal_Standard,Cotone Supima,312
FR_PRD_00150,FR04,Smart Casual Pants,Seasonal_Standard,Cotone Supima,278
FR_PRD_00151,FR01,Innerwear & Loungewear,Core_Long_Term,HEATTECH (Misto Acrilico/Rayon),190
FR_PRD_00152,FR01,Smart Casual Pants,Core_Long_Term,Cotone Supima,169
FR_PRD_00153,FR03,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),261
FR_PRD_00154,FR06,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,271
FR_PRD_00155,FR01,Smart Casual Pants,Core_Long_Term,Cotone Supima,365
FR_PRD_00156,FR02,Fleece & Outerwear,Core_Long_Term,Ultra Light Down (Nylon/Piuma),255
FR_PRD_00157,FR06,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,261
FR_PRD_00158,FR05,Knitwear,Seasonal_Standard,Cashmere 3D Knit,330
FR_PRD_00159,FR01,Smart Casual Pants,Core_Long_Term,Cotone Supima,214
FR_PRD_00160,FR05,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,151
FR_PRD_00161,FR04,Knitwear,Seasonal_Standard,Cashmere 3D Knit,317
FR_PRD_00162,FR02,Innerwear & Loungewear,Core_Long_Term,AIRism (Cupro/Poliestere),198
FR_PRD_00163,FR06,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,353
FR_PRD_00164,FR03,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,326
FR_PRD_00165,FR03,Smart Casual Pants,Seasonal_Standard,Cotone Supima,152
FR_PRD_00166,FR06,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,376
FR_PRD_00167,FR01,Innerwear & Loungewear,Core_Long_Term,HEATTECH (Misto Acrilico/Rayon),175
FR_PRD_00168,FR05,Smart Casual Pants,Seasonal_Standard,Cotone Supima,282
FR_PRD_00169,FR03,Innerwear & Loungewear,Seasonal_Standard,HEATTECH (Misto Acrilico/Rayon),211
FR_PRD_00170,FR06,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),199
FR_PRD_00171,FR02,Fleece & Outerwear,Core_Long_Term,Ultra Light Down (Nylon/Piuma),295
FR_PRD_00172,FR03,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),213
FR_PRD_00173,FR03,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,385
FR_PRD_00174,FR06,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),112
FR_PRD_00175,FR01,Knitwear,Core_Long_Term,Cashmere 3D Knit,438
FR_PRD_00176,FR05,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,397
FR_PRD_00177,FR01,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,335
FR_PRD_00178,FR05,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),211
FR_PRD_00179,FR03,Knitwear,Seasonal_Standard,Cashmere 3D Knit,462
FR_PRD_00180,FR04,Knitwear,Seasonal_Standard,Cashmere 3D Knit,335
FR_PRD_00181,FR03,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),261
FR_PRD_00182,FR01,Knitwear,Core_Long_Term,Cashmere 3D Knit,487
FR_PRD_00183,FR02,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,206
FR_PRD_00184,FR02,Knitwear,Core_Long_Term,Lana Merino Extra Fine,311
FR_PRD_00185,FR04,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),223
FR_PRD_00186,FR06,Smart Casual Pants,Seasonal_Standard,Cotone Supima,296
FR_PRD_00187,FR04,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),210
FR_PRD_00188,FR03,Knitwear,Seasonal_Standard,Cashmere 3D Knit,362
FR_PRD_00189,FR02,Knitwear,Core_Long_Term,Cashmere 3D Knit,308
FR_PRD_00190,FR03,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,449
FR_PRD_00191,FR05,Knitwear,Seasonal_Standard,Cashmere 3D Knit,457
FR_PRD_00192,FR02,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,271
FR_PRD_00193,FR01,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,193
FR_PRD_00194,FR04,Smart Casual Pants,Seasonal_Standard,Cotone Supima,304
FR_PRD_00195,FR03,Smart Casual Pants,Seasonal_Standard,Cotone Supima,289
FR_PRD_00196,FR04,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,173
FR_PRD_00197,FR03,Innerwear & Loungewear,Seasonal_Standard,HEATTECH (Misto Acrilico/Rayon),189
FR_PRD_00198,FR06,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,346
FR_PRD_00199,FR01,Fleece & Outerwear,Core_Long_Term,Ultra Light Down (Nylon/Piuma),312
FR_PRD_00200,FR04,Knitwear,Seasonal_Standard,Cashmere 3D Knit,429
FR_PRD_00201,FR02,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,350
FR_PRD_00202,FR03,Innerwear & Loungewear,Seasonal_Standard,HEATTECH (Misto Acrilico/Rayon),187
FR_PRD_00203,FR06,Smart Casual Pants,Seasonal_Standard,Cotone Supima,281
FR_PRD_00204,FR04,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),341
FR_PRD_00205,FR06,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,171
FR_PRD_00206,FR03,Innerwear & Loungewear,Seasonal_Standard,HEATTECH (Misto Acrilico/Rayon),203
FR_PRD_00207,FR01,Smart Casual Pants,Core_Long_Term,Cotone Supima,253
FR_PRD_00208,FR04,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),253
FR_PRD_00209,FR02,Knitwear,Core_Long_Term,Lana Merino Extra Fine,416
FR_PRD_00210,FR05,Smart Casual Pants,Seasonal_Standard,Cotone Supima,304
FR_PRD_00211,FR02,Smart Casual Pants,Core_Long_Term,Cotone Supima,288
FR_PRD_00212,FR05,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),380
FR_PRD_00213,FR04,Innerwear & Loungewear,Seasonal_Standard,HEATTECH (Misto Acrilico/Rayon),142
FR_PRD_00214,FR01,Innerwear & Loungewear,Core_Long_Term,HEATTECH (Misto Acrilico/Rayon),126
FR_PRD_00215,FR04,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),328
FR_PRD_00216,FR05,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),302
FR_PRD_00217,FR01,Innerwear & Loungewear,Core_Long_Term,AIRism (Cupro/Poliestere),183
FR_PRD_00218,FR03,Smart Casual Pants,Seasonal_Standard,Cotone Supima,158
FR_PRD_00219,FR03,Smart Casual Pants,Seasonal_Standard,Cotone Supima,356
FR_PRD_00220,FR01,Smart Casual Pants,Core_Long_Term,Cotone Supima,325
FR_PRD_00221,FR01,Fleece & Outerwear,Core_Long_Term,Ultra Light Down (Nylon/Piuma),385
FR_PRD_00222,FR02,Innerwear & Loungewear,Core_Long_Term,HEATTECH (Misto Acrilico/Rayon),239
FR_PRD_00223,FR06,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),197
FR_PRD_00224,FR05,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,388
FR_PRD_00225,FR06,Knitwear,Seasonal_Standard,Cashmere 3D Knit,410
FR_PRD_00226,FR03,Smart Casual Pants,Seasonal_Standard,Cotone Supima,181
FR_PRD_00227,FR01,Fleece & Outerwear,Core_Long_Term,Ultra Light Down (Nylon/Piuma),410
FR_PRD_00228,FR02,Innerwear & Loungewear,Core_Long_Term,HEATTECH (Misto Acrilico/Rayon),133
FR_PRD_00229,FR03,Knitwear,Seasonal_Standard,Cashmere 3D Knit,341
FR_PRD_00230,FR01,Innerwear & Loungewear,Core_Long_Term,HEATTECH (Misto Acrilico/Rayon),229
FR_PRD_00231,FR06,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,176
FR_PRD_00232,FR01,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,358
FR_PRD_00233,FR03,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,331
FR_PRD_00234,FR02,Fleece & Outerwear,Core_Long_Term,Ultra Light Down (Nylon/Piuma),328
FR_PRD_00235,FR05,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),146
FR_PRD_00236,FR05,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),310
FR_PRD_00237,FR03,Smart Casual Pants,Seasonal_Standard,Cotone Supima,197
FR_PRD_00238,FR05,Knitwear,Seasonal_Standard,Cashmere 3D Knit,293
FR_PRD_00239,FR02,Knitwear,Core_Long_Term,Cashmere 3D Knit,433
FR_PRD_00240,FR02,Smart Casual Pants,Core_Long_Term,Cotone Supima,218
FR_PRD_00241,FR03,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,196
FR_PRD_00242,FR06,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),447
FR_PRD_00243,FR05,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,314
FR_PRD_00244,FR03,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),259
FR_PRD_00245,FR03,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),397
FR_PRD_00246,FR06,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),428
FR_PRD_00247,FR01,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,310
FR_PRD_00248,FR01,Innerwear & Loungewear,Core_Long_Term,AIRism (Cupro/Poliestere),168
FR_PRD_00249,FR03,Smart Casual Pants,Seasonal_Standard,Cotone Supima,335
FR_PRD_00250,FR06,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,338
